discrete,segment,set,expectdiscrete,expectsegment,expectset
0.0098234,0.108664,0.0981187,0.992163,0.997734,0.990999
0.00983751,0.108669,0.0981487,0.993588,0.997776,0.991302
0.00983469,0.10871,0.0981415,0.993303,0.998157,0.991229
0.0098386,0.108728,0.0981477,0.993698,0.99832,0.991292
0.00984582,0.108779,0.0982308,0.994428,0.998789,0.992131
0.00983967,0.108836,0.0982767,0.993807,0.999316,0.992595
0.00983688,0.108854,0.0982625,0.993525,0.999473,0.992451
0.0098308,0.108831,0.0982219,0.992911,0.999265,0.992041
0.00983796,0.108792,0.0982278,0.993634,0.998906,0.992101
0.00984836,0.108792,0.0982468,0.994684,0.998913,0.992292
0.00983902,0.10879,0.0982066,0.993741,0.998889,0.991887
0.00982974,0.108748,0.0982452,0.992804,0.998505,0.992276
0.00983356,0.108772,0.0982509,0.993189,0.998722,0.992334
0.00984059,0.108772,0.0982533,0.9939,0.998729,0.992358
0.00984758,0.108757,0.0982622,0.994605,0.998587,0.992448
0.00983839,0.108758,0.0982936,0.993678,0.998594,0.992765
0.00984534,0.108775,0.0983345,0.99438,0.998749,0.993178
0.00982981,0.108788,0.0983174,0.992811,0.998873,0.993005
0.00983994,0.108808,0.0983483,0.993834,0.999056,0.993318
0.00982771,0.108818,0.0983504,0.992599,0.999149,0.993339
0.00982509,0.108822,0.098327,0.992334,0.999183,0.993103
0.00982247,0.10881,0.0983228,0.99207,0.999072,0.993061
0.00981988,0.108829,0.0983218,0.991808,0.999252,0.99305
0.0098173,0.108814,0.0983711,0.991547,0.999112,0.993548
0.00982728,0.108868,0.0984076,0.992555,0.999607,0.993916
0.00981844,0.108868,0.0983969,0.991663,0.999611,0.993809
0.00981278,0.108822,0.0983895,0.991091,0.999185,0.993734
0.00981646,0.108813,0.0984038,0.991463,0.999105,0.993878
0.00980465,0.108817,0.098387,0.99027,0.999138,0.993709
0.00981143,0.108858,0.0983951,0.990954,0.999512,0.993791
0.00984585,0.108864,0.0984831,0.994431,0.999573,0.99468
0.00983405,0.108862,0.0984479,0.993239,0.999548,0.994324
0.00984374,0.108905,0.0984282,0.994217,0.999945,0.994125
0.00984421,0.108917,0.098436,0.994265,1.00006,0.994204
0.00984772,0.108945,0.098456,0.99462,1.00031,0.994405
0.00985425,0.108924,0.0984607,0.995279,1.00012,0.994453
0.00985167,0.10893,0.0984985,0.995018,1.00018,0.994835
0.00984609,0.108903,0.0985061,0.994455,0.999931,0.994911
0.00985256,0.108889,0.0985256,0.995108,0.999795,0.995108
0.00985599,0.108904,0.098521,0.995455,0.999936,0.995062
0.00985344,0.108839,0.0985254,0.995197,0.999336,0.995107
0.00985983,0.108815,0.0985358,0.995842,0.999122,0.995211
0.00986914,0.108777,0.0985015,0.996783,0.998772,0.994865
0.00986361,0.108796,0.0984764,0.996225,0.998941,0.994611
0.00985517,0.108722,0.0984042,0.995372,0.99827,0.993882
0.00986442,0.10877,0.0983589,0.996306,0.998709,0.993425
0.00985015,0.108771,0.0983666,0.994865,0.998716,0.993503
0.00984474,0.108798,0.0983626,0.994319,0.998963,0.993463
0.00985394,0.108822,0.0983645,0.995248,0.999183,0.993481
0.00985437,0.108814,0.0983547,0.995291,0.999108,0.993382
0.00986058,0.108794,0.0983479,0.995919,0.998926,0.993314
0.00986966,0.108769,0.0983555,0.996835,0.998693,0.993391
0.00987868,0.108804,0.0983632,0.997747,0.999017,0.993468
0.00989052,0.108816,0.0983851,0.998943,0.999127,0.99369
0.00988797,0.108825,0.0984098,0.998685,0.999211,0.993939
0.009874,0.108883,0.0984,0.997274,0.99974,0.99384
0.00987151,0.108889,0.0983562,0.997023,0.999796,0.993397
0.00986336,0.108886,0.0983921,0.996199,0.999772,0.99376
0.00985808,0.108855,0.0983683,0.995666,0.999489,0.99352
0.00985848,0.108836,0.0984153,0.995706,0.999311,0.993995
0.00983634,0.108805,0.0983831,0.993471,0.999031,0.99367
0.00982276,0.108809,0.0983427,0.992099,0.999062,0.993262
0.00980645,0.108781,0.0983054,0.990451,0.99881,0.992884
0.0098042,0.108754,0.0983185,0.990224,0.998559,0.993017
0.00979638,0.108732,0.0982758,0.989435,0.998361,0.992586
0.00978862,0.108691,0.09825,0.98865,0.997985,0.992325
0.00977812,0.108667,0.0982687,0.98759,0.997764,0.992514
0.0097815,0.108721,0.0982735,0.987931,0.998254,0.992563
0.00977384,0.108708,0.0983113,0.987157,0.998135,0.992945
0.0097827,0.10872,0.098316,0.988052,0.998243,0.992991
0.00977507,0.108704,0.098337,0.987282,0.998099,0.993204
0.00977296,0.108699,0.0983197,0.987069,0.998056,0.993029
0.00977085,0.108719,0.0983379,0.986856,0.998239,0.993213
0.00976604,0.108744,0.0983343,0.98637,0.998471,0.993176
0.00977209,0.108764,0.0983036,0.986981,0.998651,0.992866
0.00975649,0.108765,0.0982622,0.985406,0.998657,0.992448
0.00975176,0.10876,0.098248,0.984928,0.998613,0.992305
0.00975243,0.108744,0.098242,0.984995,0.998471,0.992244
0.00975577,0.108825,0.0982521,0.985333,0.999216,0.992346
0.00974573,0.108791,0.0982407,0.984319,0.998901,0.992231
0.00975974,0.108781,0.0982507,0.985734,0.998808,0.992332
0.0097524,0.108752,0.0982314,0.984992,0.998545,0.992137
0.00976367,0.108798,0.0982229,0.98613,0.998965,0.992051
0.00976165,0.108823,0.0982302,0.985926,0.999189,0.992125
